Month,Day,Hour,Beam Irradiance (W/m2),Diffuse Irradiance (W/m2),Ambient Temperature (C),Wind Speed (m/s),Albedo,Plane of Array Irradiance (W/m2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,1,1.1,0.87,0,1,0,0
1,1,1,0,0,1,1,0.87,0,1,0,0
1,1,2,0,0,1,1,0.87,0,1,0,0
1,1,3,0,0,1,1.2,0.87,0,1,0,0
1,1,4,0,0,1,1.3,0.87,0,1,0,0
1,1,5,0,0,1,1.4,0.87,0,1,0,0
1,1,6,0,0,1,1.5,0.87,0,1,0,0
1,1,7,0,5,1,1.4,0.87,4.756,1.11,9.242,0
1,1,8,0,61,2,1.2,0.87,61.157,3.769,209.331,186.059
1,1,9,0,105,2,1.2,0.87,104.748,5.043,369.365,340.422
1,1,10,0,111,2,1.1,0.87,108.389,5.224,381.313,351.947
1,1,11,399,162,3,1.1,0.87,490.853,17.661,1741.359,1663.801
1,1,12,31,171,3,1.2,0.87,204.289,8.932,724.186,682.671
1,1,13,0,82,3,1.3,0.87,78.288,5.219,272.368,246.862
1,1,14,0,83,3,1.6,0.87,81.129,5.149,283.254,257.363
1,1,15,0,32,2,2,0.87,30.26,2.732,100.268,80.861
1,1,16,0,0,2,2.3,0.87,0,0,0,0
1,1,17,0,0,3,2.4,0.87,0,3,0,0
1,1,18,0,0,3,2.6,0.87,0,3,0,0
1,1,19,0,0,3,2.8,0.87,0,3,0,0
1,1,20,0,0,3,3,0.87,0,3,0,0
1,1,21,0,0,2,3.2,0.87,0,2,0,0
1,1,22,0,0,2,3.7,0.87,0,2,0,0
1,1,23,0,0,2,4.2,0.87,0,2,0,0
1,2,0,0,0,2,4.6,0.87,0,2,0,0
1,2,1,0,0,1,4.6,0.87,0,1,0,0
1,2,2,0,0,1,4.5,0.87,0,1,0,0
1,2,3,0,0,1,4.5,0.87,0,1,0,0
1,2,4,0,0,1,4.6,0.87,0,1,0,0
1,2,5,0,0,0,4.9,0.87,0,0,0,0
1,2,6,0,0,0,5.1,0.87,0,0,0,0
1,2,7,0,0,0,5.4,0.87,0,0,0,0
1,2,8,56,68,0,5.5,0.87,95.956,1.361,336.122,308.358
1,2,9,61,123,0,5.6,0.87,166.114,2.344,604.733,567.451
1,2,10,50,162,0,5.9,0.87,206.978,2.818,753.73,711.168
1,2,11,53,203,0,6.1,0.87,259.137,3.447,944.021,894.717
1,2,12,102,190,0,6.2,0.87,278.445,3.667,1018.959,966.999
1,2,13,106,165,0,6.2,0.87,256.281,3.378,940.317,891.143
1,2,14,0,92,0,6.3,0.87,90.92,1.183,323.709,296.385
1,2,15,88,70,-1,6.5,0.87,116.638,0.474,407.585,377.289
1,2,16,0,0,-1,6.7,0.87,0,0,0,0
1,2,17,0,0,-2,7,0.87,0,-2,0,0
1,2,18,0,0,-3,7.1,0.87,0,-3,0,0
1,2,19,0,0,-4,7.1,0.87,0,-4,0,0
1,2,20,0,0,-4,7.1,0.87,0,-4,0,0
1,2,21,0,0,-5,7.1,0.87,0,-5,0,0
1,2,22,0,0,-5,7.2,0.87,0,-5,0,0
1,2,23,0,0,-5,7.2,0.87,0,-5,0,0
1,3,0,0,0,-5,7.4,0.87,0,-5,0,0
1,3,1,0,0,-5,7.5,0.87,0,-5,0,0
1,3,2,0,0,-5,7.6,0.87,0,-5,0,0
1,3,3,0,0,-5,7.6,0.87,0,-5,0,0
1,3,4,0,0,-5,7.6,0.87,0,-5,0,0
1,3,5,0,0,-5,7.5,0.87,0,-5,0,0
1,3,6,0,0,-5,7.4,0.87,0,-5,0,0
1,3,7,0,10,-5,7.4,0.87,9.513,-4.907,19.617,3.067
1,3,8,0,42,-5,7.3,0.87,39.826,-4.534,138.602,117.837
1,3,9,75,125,-5,7.2,0.87,176.366,-2.904,656.178,617.073
1,3,10,18,149,-5,7.1,0.87,161.979,-3.06,596.607,559.613
