Month,Day,Hour,Beam Irradiance (W/m2),Diffuse Irradiance (W/m2),Ambient Temperature (C),Wind Speed (m/s),Albedo,Plane of Array Irradiance (W/m2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,-16.7,1.4,0.87,0,-16.7,0,0
1,1,1,0,0,-16.9,1.4,0.87,0,-16.9,0,0
1,1,2,0,0,-17.1,1.4,0.87,0,-17.1,0,0
1,1,3,0,0,-17.3,1.4,0.87,0,-17.3,0,0
1,1,4,0,0,-17.4,1.4,0.87,0,-17.4,0,0
1,1,5,0,0,-17.6,1.6,0.87,0,-17.6,0,0
1,1,6,0,0,-17.8,1.8,0.87,0,-17.8,0,0
1,1,7,44,7,-17.5,1.8,0.87,7.754,-17.313,23.01,6.34
1,1,8,337,50,-16.4,1.9,0.87,196.358,-11.557,728.976,687.292
1,1,9,496,82,-14.8,2,0.87,377.312,-5.562,1460.018,1392.43
1,1,10,466,118,-13,2,0.87,455.346,-1.876,1729.571,1652.432
1,1,11,947,70,-11.3,2,0.87,769.97,7.517,2838.661,2722.222
1,1,12,974,66,-9.8,2.2,0.87,787.112,8.688,2889.649,2771.403
1,1,13,948,61,-8.8,2.9,0.87,709.19,5.877,2641.585,2532.128
1,1,14,894,52,-8.4,3.5,0.87,563.26,2.191,2139.706,2048.034
1,1,15,758,37,-9.6,3.1,0.87,350.896,-2.654,1286.696,1225.249
1,1,16,244,15,-10.7,2.7,0.87,64.102,-9.471,169.671,147.804
1,1,17,0,0,-13,3.3,0.87,0,-13,0,0
1,1,18,0,0,-13.8,4.1,0.87,0,-13.8,0,0
1,1,19,0,0,-14.2,4.8,0.87,0,-14.2,0,0
1,1,20,0,0,-14.5,5.5,0.87,0,-14.5,0,0
1,1,21,0,0,-14.6,6,0.87,0,-14.6,0,0
1,1,22,0,0,-14.5,6.3,0.87,0,-14.5,0,0
1,1,23,0,0,-14.3,6.3,0.87,0,-14.3,0,0
1,2,0,0,0,-14.1,6.3,0.87,0,-14.1,0,0
1,2,1,0,0,-13.7,6.1,0.87,0,-13.7,0,0
1,2,2,0,0,-13.3,6,0.87,0,-13.3,0,0
1,2,3,0,0,-12.7,5.9,0.87,0,-12.7,0,0
1,2,4,0,0,-12,5.8,0.87,0,-12,0,0
1,2,5,0,0,-11.5,5.4,0.87,0,-11.5,0,0
1,2,6,0,0,-11,5,0.87,0,-11,0,0
