Month,Day,Hour,Beam Irradiance (W/m2),Diffuse Irradiance (W/m2),Ambient Temperature (C),Wind Speed (m/s),Albedo,Plane of Array Irradiance (W/m2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,22,6.4,0.1,0,22,0,0
1,1,1,0,0,21,6.1,0.1,0,21,0,0
1,1,2,0,0,21,5.9,0.1,0,21,0,0
1,1,3,0,0,21,5.6,0.1,0,21,0,0
1,1,4,0,0,21,5.1,0.1,0,21,0,0
1,1,5,0,0,21,4.7,0.1,0,21,0,0
1,1,6,0,0,21,4.4,0.1,0,21,0,0
1,1,7,210,25,21,4.5,0.1,70.378,21.898,125.634,105.328
1,1,8,627,63,22,4.7,0.1,357.135,27.631,1204.401,1145.87
1,1,9,734,82,22,4.9,0.1,561.433,30.666,1918.322,1834.494
1,1,10,440,213,23,5,0.1,581.833,31.832,1949.453,1864.522
1,1,11,176,305,23,5.1,0.1,475.59,30.105,1580.327,1508.476
1,1,12,910,95,23,5.1,0.1,910.985,36.659,2993.887,2871.947
1,1,13,454,245,23,5,0.1,662.153,33.038,2198.869,2105.1
1,1,14,541,175,23,5,0.1,605.409,32.199,2033.751,1945.833
1,1,15,767,76,23,5,0.1,550.012,31.388,1877.481,1795.1
1,1,16,596,55,23,5.2,0.1,310.385,27.57,1023.696,971.568
1,1,17,0,16,22,5.6,0.1,15.221,22.179,28.043,11.196
1,1,18,0,0,22,5.9,0.1,0,22,0,0
1,1,19,0,0,22,6.3,0.1,0,22,0,0
1,1,20,0,0,22,6.7,0.1,0,22,0,0
1,1,21,0,0,22,7.1,0.1,0,22,0,0
1,1,22,0,0,22,7.2,0.1,0,22,0,0
1,1,23,0,0,21,7.1,0.1,0,21,0,0
1,2,0,0,0,21,6.9,0.1,0,21,0,0
1,2,1,0,0,21,6.8,0.1,0,21,0,0
1,2,2,0,0,21,6.7,0.1,0,21,0,0
1,2,3,0,0,21,6.6,0.1,0,21,0,0
1,2,4,0,0,21,6.4,0.1,0,21,0,0
1,2,5,0,0,21,6.2,0.1,0,21,0,0
1,2,6,0,0,21,6.2,0.1,0,21,0,0
