Month,Day,Hour,Beam Irradiance (W/m2),Diffuse Irradiance (W/m2),Ambient Temperature (C),Wind Speed (m/s),Albedo,Plane of Array Irradiance (W/m2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,15,4.1,0.11,0,15,0,0
1,1,1,0,0,15,4,0.11,0,15,0,0
1,1,2,0,0,15,3.8,0.11,0,15,0,0
1,1,3,0,0,14,3.7,0.11,0,14,0,0
1,1,4,0,0,14,3.5,0.11,0,14,0,0
1,1,5,0,0,14,3.4,0.11,0,14,0,0
1,1,6,0,0,14,3.6,0.11,0,14,0,0
1,1,7,435,32,16,4.1,0.11,168.886,18.771,498.831,465.301
1,1,8,101,113,18,4.2,0.11,172.569,20.915,588.193,551.497
1,1,9,831,72,20,3.7,0.11,630.067,31.488,2150.814,2058.748
1,1,10,386,202,21,3,0.11,519.386,31.546,1744.783,1667.104
1,1,11,945,71,22,2.5,0.11,852.153,40.92,2776.146,2661.921
1,1,12,355,230,23,2,0.11,543.581,36.257,1786.311,1707.161
1,1,13,905,70,23,1.6,0.11,749.893,42.973,2435.592,2333.435
1,1,14,307,151,22,1,0.11,357.876,32.975,1196.177,1137.937
1,1,15,696,50,20,0.6,0.11,371.178,32.618,1224.827,1165.572
1,1,16,333,20,17,0.9,0.11,105.439,19.563,188.305,165.778
1,1,17,0,0,16,1.4,0.11,0,16,0,0
1,1,18,0,0,15,1.6,0.11,0,15,0,0
1,1,19,0,0,15,1.7,0.11,0,15,0,0
1,1,20,0,0,15,1.8,0.11,0,15,0,0
1,1,21,0,0,15,2,0.11,0,15,0,0
1,1,22,0,0,15,2.1,0.11,0,15,0,0
1,1,23,0,0,15,2.1,0.11,0,15,0,0
1,2,0,0,0,14,2.1,0.11,0,14,0,0
1,2,1,0,0,14,2.1,0.11,0,14,0,0
1,2,2,0,0,14,2.1,0.11,0,14,0,0
1,2,3,0,0,14,2.2,0.11,0,14,0,0
1,2,4,0,0,14,2.4,0.11,0,14,0,0
1,2,5,0,0,14,2.6,0.11,0,14,0,0
1,2,6,0,0,14,3,0.11,0,14,0,0
1,2,7,81,39,16,3.7,0.11,67.357,17.187,201.704,178.703
1,2,8,734,57,19,4.2,0.11,430.847,26.297,1488.133,1419.548
1,2,9,852,70,20,3.9,0.11,641.046,31.347,2189.934,2096.481
1,2,10,901,79,21,3.2,0.11,778.457,36.325,2591.632,2483.946
1,2,11,924,81,22,2.5,0.11,847.453,40.813,2760.932,2647.247
1,2,12,359,230,23,2,0.11,547.126,36.343,1797.427,1717.883
1,2,13,900,74,22,1.6,0.11,752.306,42.036,2452.016,2349.277
1,2,14,827,67,21,1.3,0.11,592.463,37.923,1974.492,1888.674
1,2,15,679,53,19,1.2,0.11,368.389,29.712,1230.842,1171.374
1,2,16,310,22,17,1.5,0.11,105.062,19.224,190.058,167.469
1,2,17,0,0,16,1.6,0.11,0,16,0,0
1,2,18,0,0,15,1.7,0.11,0,15,0,0
1,2,19,0,0,15,1.6,0.11,0,15,0,0
1,2,20,0,0,15,1.6,0.11,0,15,0,0
1,2,21,0,0,15,1.6,0.11,0,15,0,0
1,2,22,0,0,15,1.5,0.11,0,15,0,0
1,2,23,0,0,15,1.5,0.11,0,15,0,0
1,3,0,0,0,15,1.4,0.11,0,15,0,0
1,3,1,0,0,16,1.3,0.11,0,16,0,0
1,3,2,0,0,16,1.2,0.11,0,16,0,0
1,3,3,0,0,16,1.2,0.11,0,16,0,0
1,3,4,0,0,16,1.4,0.11,0,16,0,0
1,3,5,0,0,16,1.6,0.11,0,16,0,0
1,3,6,0,0,16,1.7,0.11,0,16,0,0
1,3,7,44,38,17,2.1,0.11,55.715,18.298,166.719,144.957
1,3,8,153,112,19,2.5,0.11,196.35,23.355,666.652,627.176
1,3,9,838,67,21,2.4,0.11,628.314,35.245,2113.918,2023.16
1,3,10,887,76,23,1.5,0.11,764.588,43.813,2470.424,2367.033
1,3,11,400,225,24,0.9,0.11,577.524,42.12,1855.198,1773.607
1,3,12,906,80,24,0.7,0.11,826.078,51.407,2577.851,2470.653
1,3,13,881,75,24,0.9,0.11,740.931,47.327,2362.636,2263.064
1,3,14,290,155,23,0.9,0.11,353.035,34.106,1173.349,1115.918
1,3,15,677,52,21,0.9,0.11,367.931,32.537,1216.728,1157.761
1,3,16,315,22,18,1.2,0.11,107.383,20.441,193.841,171.118
1,3,17,0,0,16,1.6,0.11,0,16,0,0
1,3,18,0,0,16,1.8,0.11,0,16,0,0
1,3,19,0,0,16,1.9,0.11,0,16,0,0
1,3,20,0,0,16,1.9,0.11,0,16,0,0
1,3,21,0,0,16,1.9,0.11,0,16,0,0
1,3,22,0,0,15,1.9,0.11,0,15,0,0
1,3,23,0,0,15,1.9,0.11,0,15,0,0
1,4,0,0,0,15,1.9,0.11,0,15,0,0
1,4,1,0,0,16,1.9,0.11,0,16,0,0
1,4,2,0,0,16,1.9,0.11,0,16,0,0
1,4,3,0,0,15,2,0.11,0,15,0,0
1,4,4,0,0,15,2.1,0.11,0,15,0,0
1,4,5,0,0,15,2.1,0.11,0,15,0,0
1,4,6,0,0,15,2.3,0.11,0,15,0,0
1,4,7,489,29,17,3.2,0.11,176.662,20.312,513.878,479.815
1,4,8,764,52,20,4.2,0.11,438.79,27.432,1509.283,1439.949
1,4,9,877,63,22,4.2,0.11,644.458,32.929,2189.155,2095.73
1,4,10,933,68,23,3.7,0.11,790.315,37.388,2620.774,2512.056
1,4,11,951,72,24,3,0.11,860.284,41.492,2795.175,2680.276
1,4,12,944,74,24,2.3,0.11,850.823,43.611,2741.992,2628.978
1,4,13,916,70,24,1.7,0.11,762.381,43.866,2466.109,2362.871
1,4,14,847,64,23,1.1,0.11,604.558,41.123,1989.2,1902.861
1,4,15,704,51,21,0.9,0.11,380.349,32.93,1258.066,1197.633
1,4,16,343,22,19,1.2,0.11,115.245,21.727,222.608,198.865
1,4,17,0,0,17,1.6,0.11,0,17,0,0
1,4,18,0,0,16,1.8,0.11,0,16,0,0
1,4,19,0,0,16,1.9,0.11,0,16,0,0
1,4,20,0,0,16,1.9,0.11,0,16,0,0
1,4,21,0,0,16,2,0.11,0,16,0,0
1,4,22,0,0,16,2,0.11,0,16,0,0
1,4,23,0,0,16,2,0.11,0,16,0,0
1,5,0,0,0,16,1.9,0.11,0,16,0,0
1,5,1,0,0,16,1.9,0.11,0,16,0,0
1,5,2,0,0,16,1.9,0.11,0,16,0,0
1,5,3,0,0,15,1.9,0.11,0,15,0,0
1,5,4,0,0,15,1.9,0.11,0,15,0,0
1,5,5,0,0,15,1.8,0.11,0,15,0,0
1,5,6,0,0,15,1.8,0.11,0,15,0,0
1,5,7,23,37,17,1.8,0.11,44.846,18.114,134.028,113.425
1,5,8,120,113,19,2.2,0.11,181.304,23.255,613.452,575.861
1,5,9,836,72,20,2.3,0.11,632.489,34.612,2132.757,2041.331
1,5,10,900,77,21,1.6,0.11,776.199,41.663,2529.442,2423.96
1,5,11,915,82,22,0.9,0.11,843.523,48.524,2662.164,2551.978
1,5,12,384,227,23,0.4,0.11,565.001,43.378,1804.849,1725.042
1,5,13,874,81,23,0.2,0.11,750.765,51.899,2346.832,2247.82
1,5,14,802,73,22,0.3,0.11,588.745,44.001,1912.733,1829.103
1,5,15,658,57,21,0.3,0.11,370.049,34.759,1215.32,1156.402
1,5,16,348,23,19,0.4,0.11,118.727,22.611,245.52,220.966
1,5,17,0,0,17,0.6,0.11,0,17,0,0
1,5,18,0,0,16,0.8,0.11,0,16,0,0
1,5,19,0,0,16,1,0.11,0,16,0,0
1,5,20,0,0,15,1.2,0.11,0,15,0,0
1,5,21,0,0,15,1.3,0.11,0,15,0,0
1,5,22,0,0,15,1.4,0.11,0,15,0,0
1,5,23,0,0,15,1.4,0.11,0,15,0,0
1,6,0,0,0,15,1.4,0.11,0,15,0,0
1,6,1,0,0,15,1.5,0.11,0,15,0,0
1,6,2,0,0,15,1.4,0.11,0,15,0,0
1,6,3,0,0,15,1.2,0.11,0,15,0,0
1,6,4,0,0,15,1.1,0.11,0,15,0,0
1,6,5,0,0,15,1.1,0.11,0,15,0,0
1,6,6,0,0,15,1.1,0.11,0,15,0,0
1,6,7,421,31,16,1.2,0.11,162.067,20.511,471.388,438.831
1,6,8,708,58,18,1.1,0.11,417.492,30.493,1416.738,1350.683
1,6,9,829,71,19,0.8,0.11,626.786,39.286,2074.43,1985.071
1,6,10,893,77,20,0.9,0.11,771.298,44.274,2486.781,2382.81
1,6,11,915,81,21,1.3,0.11,843.225,45.013,2699.862,2588.34
1,6,12,391,227,21,1.6,0.11,571.103,36.155,1878.791,1796.364
1,6,13,876,80,20,1.9,0.11,752.652,38.798,2482.751,2378.923
1,6,14,808,71,19,1.8,0.11,591.883,34.12,2001.142,1914.379
1,6,15,667,56,18,1.4,0.11,372.232,28.336,1255.731,1195.382
1,6,16,292,25,16,1,0.11,108.377,18.882,242.528,218.08
1,6,17,0,0,15,0.6,0.11,0,15,0,0
1,6,18,0,0,14,0.4,0.11,0,14,0,0
1,6,19,0,0,14,0.6,0.11,0,14,0,0
1,6,20,0,0,14,1,0.11,0,14,0,0
1,6,21,0,0,13,1.2,0.11,0,13,0,0
1,6,22,0,0,13,1.3,0.11,0,13,0,0
1,6,23,0,0,12,1.4,0.11,0,12,0,0
1,7,0,0,0,12,1.4,0.11,0,12,0,0
1,7,1,0,0,11,1.5,0.11,0,11,0,0
1,7,2,0,0,11,1.5,0.11,0,11,0,0
1,7,3,0,0,10,1.5,0.11,0,10,0,0
1,7,4,0,0,10,1.4,0.11,0,10,0,0
1,7,5,0,0,10,1.3,0.11,0,10,0,0
1,7,6,0,0,10,1.8,0.11,0,10,0,0
1,7,7,0,35,12,2.6,0.11,34.034,12.726,104.576,85.016
1,7,8,81,113,13,2.8,0.11,156.332,16.284,540.411,505.408
1,7,9,174,183,15,2.5,0.11,310.356,21.882,1073.132,1019.253
1,7,10,158,237,16,2.4,0.11,376.536,24.488,1284.173,1222.816
1,7,11,144,265,17,2.6,0.11,404.643,25.782,1369.147,1304.778
1,7,12,61,247,17,2.6,0.11,305.443,23.624,1032.338,979.904
1,7,13,258,225,16,2.5,0.11,444.985,25.857,1520.372,1450.645
1,7,14,275,162,15,2.2,0.11,353.646,23.31,1225.334,1166.061
1,7,15,635,61,14,1.5,0.11,367.104,23.966,1260.382,1199.867
1,7,16,230,29,12,0.9,0.11,98.197,14.75,236.761,212.517
1,7,17,0,0,11,0.7,0.11,0,11,0,0
1,7,18,0,0,11,0.9,0.11,0,11,0,0
1,7,19,0,0,11,1,0.11,0,11,0,0
1,7,20,0,0,11,0.9,0.11,0,11,0,0
1,7,21,0,0,11,1,0.11,0,11,0,0
1,7,22,0,0,11,1.3,0.11,0,11,0,0
1,7,23,0,0,11,1.5,0.11,0,11,0,0
1,8,0,0,0,11,1.7,0.11,0,11,0,0
1,8,1,0,0,11,2.1,0.11,0,11,0,0
1,8,2,0,0,12,2.5,0.11,0,12,0,0
1,8,3,0,0,12,2.9,0.11,0,12,0,0
1,8,4,0,0,11,3.1,0.11,0,11,0,0
1,8,5,0,0,11,3.2,0.11,0,11,0,0
1,8,6,0,0,11,3.3,0.11,0,11,0,0
1,8,7,81,38,13,3.5,0.11,69.946,14.27,211.966,188.601
1,8,8,199,110,15,4.1,0.11,221.781,18.802,770.173,727.028
1,8,9,898,63,17,4.8,0.11,657.98,27.294,2283.949,2187.165
1,8,10,945,71,18,5,0.11,804.775,30.252,2742.361,2629.334
1,8,11,960,76,19,4.9,0.11,876.021,32.494,2946.709,2826.441
1,8,12,417,223,19,4.6,0.11,599.221,28.576,2031.394,1943.56
1,8,13,918,75,19,4.1,0.11,776.279,32.33,2626.458,2517.538
1,8,14,852,68,18,3.2,0.11,619.333,30.215,2126.671,2035.46
1,8,15,718,54,16,1.7,0.11,396.33,26.299,1352.234,1288.465
1,8,16,366,26,14,0.9,0.11,130.235,17.671,318.713,291.565
1,8,17,0,0,13,0.9,0.11,0,13,0,0
1,8,18,0,0,13,1.1,0.11,0,13,0,0
1,8,19,0,0,13,1.2,0.11,0,13,0,0
1,8,20,0,0,13,1.2,0.11,0,13,0,0
1,8,21,0,0,13,1.2,0.11,0,13,0,0
1,8,22,0,0,13,1.2,0.11,0,13,0,0
1,8,23,0,0,13,1.2,0.11,0,13,0,0
1,9,0,0,0,12,1.2,0.11,0,12,0,0
1,9,1,0,0,12,1.3,0.11,0,12,0,0
1,9,2,0,0,13,1.3,0.11,0,13,0,0
1,9,3,0,0,12,1.3,0.11,0,12,0,0
1,9,4,0,0,12,1.5,0.11,0,12,0,0
1,9,5,0,0,12,1.7,0.11,0,12,0,0
1,9,6,0,0,12,2,0.11,0,12,0,0
1,9,7,59,38,14,2.7,0.11,59.666,15.239,179.911,157.682
1,9,8,744,54,16,3.5,0.11,429.634,24.066,1495.615,1426.766
1,9,9,859,67,17,3.6,0.11,641.768,28.88,2213.049,2118.778
1,9,10,919,72,18,3.2,0.11,786.819,33.488,2647.866,2538.188
1,9,11,938,76,19,2.7,0.11,859.149,37.394,2835.419,2719.095
1,9,12,933,77,20,2.2,0.11,852.235,40.022,2784.233,2669.722
1,9,13,906,73,20,1.9,0.11,766.738,39.149,2525.459,2420.118
