Month,Day,Hour,Beam Irradiance (W/m2),Diffuse Irradiance (W/m2),Ambient Temperature (C),Wind Speed (m/s),Albedo,Plane of Array Irradiance (W/m2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,4,0.5,0.07,0,4,0,0
1,1,1,0,0,3,0.5,0.07,0,3,0,0
1,1,2,0,0,3,0.5,0.07,0,3,0,0
1,1,3,0,0,3,0.7,0.07,0,3,0,0
1,1,4,0,0,3,0.7,0.07,0,3,0,0
1,1,5,0,0,3,0.8,0.07,0,3,0,0
1,1,6,0,0,3,0.9,0.07,0,3,0,0
1,1,7,0,0,3,0.9,0.07,0,3,0,0
1,1,8,327,21,4,0.6,0.07,86.772,6.397,176.206,154.108
1,1,9,617,42,6,0.3,0.07,332.119,18.301,1144.014,1087.623
1,1,10,740,53,9,0.2,0.07,486.736,27.779,1687.247,1611.607
1,1,11,795,57,10,0.2,0.07,575.745,32.22,1967.444,1881.876
1,1,12,806,58,10,0.2,0.07,593.572,32.907,2023.158,1935.616
1,1,13,309,108,9,0.3,0.07,313.077,20.687,1099.261,1044.455
1,1,14,83,87,7,0.3,0.07,141.457,12.26,493.744,460.394
1,1,15,200,41,5,0.3,0.07,131.956,9.8,428.187,397.16
1,1,16,0,0,4,0.4,0.07,0,4,0,0
1,1,17,0,0,4,0.3,0.07,0,4,0,0
1,1,18,0,0,4,0.3,0.07,0,4,0,0
1,1,19,0,0,4,0.3,0.07,0,4,0,0
1,1,20,0,0,4,0.3,0.07,0,4,0,0
1,1,21,0,0,4,0.3,0.07,0,4,0,0
1,1,22,0,0,4,0.3,0.07,0,4,0,0
1,1,23,0,0,4,0.4,0.07,0,4,0,0
1,2,0,0,0,4,0.6,0.07,0,4,0,0
1,2,1,0,0,5,0.6,0.07,0,5,0,0
1,2,2,0,0,5,0.5,0.07,0,5,0,0
1,2,3,0,0,5,0.5,0.07,0,5,0,0
1,2,4,0,0,6,0.6,0.07,0,6,0,0
1,2,5,0,0,5,0.7,0.07,0,5,0,0
1,2,6,0,0,5,0.6,0.07,0,5,0,0
1,2,7,0,0,5,0.5,0.07,0,5,0,0
1,2,8,106,22,6,0.4,0.07,51.149,7.525,104.626,85.064
1,2,9,290,61,8,0.4,0.07,211.429,15.597,727.061,685.445
1,2,10,17,101,9,0.4,0.07,110.627,12.991,381.91,352.523
1,2,11,37,126,10,0.3,0.07,157.48,15.861,545.611,510.424
1,2,12,275,128,11,0.3,0.07,328.897,23.273,1142.903,1086.551
1,2,13,22,113,11,0.2,0.07,126.268,15.847,433.611,402.393
1,2,14,0,61,10,0.2,0.07,58.147,12.227,195.1,172.332
1,2,15,0,13,8,0.4,0.07,12.013,8.427,36.572,19.422
1,2,16,0,0,6,0.5,0.07,0,6,0,0
1,2,17,0,0,5,0.6,0.07,0,5,0,0
1,2,18,0,0,5,0.5,0.07,0,5,0,0
1,2,19,0,0,5,0.5,0.07,0,5,0,0
1,2,20,0,0,5,0.5,0.07,0,5,0,0
1,2,21,0,0,5,0.5,0.07,0,5,0,0
1,2,22,0,0,5,0.6,0.07,0,5,0,0
1,2,23,0,0,5,0.6,0.07,0,5,0,0
1,3,0,0,0,5,0.7,0.07,0,5,0,0
1,3,1,0,0,4,0.7,0.07,0,4,0,0
1,3,2,0,0,4,0.6,0.07,0,4,0,0
1,3,3,0,0,4,0.6,0.07,0,4,0,0
1,3,4,0,0,4,0.7,0.07,0,4,0,0
1,3,5,0,0,4,0.8,0.07,0,4,0,0
1,3,6,0,0,4,0.8,0.07,0,4,0,0
1,3,7,0,0,4,0.8,0.07,0,4,0,0
1,3,8,0,11,5,0.8,0.07,10.169,5.276,20.369,3.793
1,3,9,0,44,6,0.8,0.07,41.113,7.319,137.546,116.818
1,3,10,3,97,7,0.8,0.07,98.109,10.159,340.397,312.481
1,3,11,25,124,7,1,0.07,147.393,11.51,517.67,483.473
1,3,12,0,31,8,1.1,0.07,28.692,8.855,95.284,76.053
1,3,13,0,52,7,1.1,0.07,48.188,8.437,163.85,142.19
1,3,14,0,18,7,1.1,0.07,16.641,7.496,54.045,36.276
1,3,15,0,8,7,0.9,0.07,7.387,7.229,22.177,5.537
1,3,16,0,0,6,0.7,0.07,0,0,0,0
1,3,17,0,0,6,0.5,0.07,0,6,0,0
1,3,18,0,0,6,0.5,0.07,0,6,0,0
1,3,19,0,0,6,0.5,0.07,0,6,0,0
1,3,20,0,0,6,0.6,0.07,0,6,0,0
1,3,21,0,0,6,0.7,0.07,0,6,0,0
1,3,22,0,0,6,0.6,0.07,0,6,0,0
1,3,23,0,0,6,0.5,0.07,0,6,0,0
1,4,0,0,0,6,0.4,0.07,0,6,0,0
1,4,1,0,0,6,0.4,0.07,0,6,0,0
1,4,2,0,0,6,0.4,0.07,0,6,0,0
1,4,3,0,0,6,0.4,0.07,0,6,0,0
1,4,4,0,0,7,0.4,0.07,0,7,0,0
1,4,5,0,0,7,0.5,0.07,0,7,0,0
1,4,6,0,0,7,0.5,0.07,0,7,0,0
1,4,7,0,0,7,0.4,0.07,0,7,0,0
1,4,8,0,1,7,0.4,0.07,0.922,7.028,0,0
1,4,9,0,6,7,0.4,0.07,5.54,7.199,16.975,0.519
1,4,10,0,3,8,0.4,0.07,2.771,8.1,8.286,0
1,4,11,176,133,8,0.5,0.07,261.438,17.182,922.027,873.502
1,4,12,0,63,9,0.6,0.07,58.416,10.987,198.01,175.14
1,4,13,0,26,9,0.8,0.07,24.055,9.775,78.978,60.325
1,4,14,0,27,9,0.9,0.07,24.98,9.783,81.774,63.022
1,4,15,0,5,9,0.9,0.07,4.615,9.143,13.455,0
1,4,16,0,0,9,1,0.07,0,0,0,0
1,4,17,0,0,9,1.1,0.07,0,9,0,0
1,4,18,0,0,9,1.1,0.07,0,9,0,0
1,4,19,0,0,9,1.2,0.07,0,9,0,0
1,4,20,0,0,10,1.2,0.07,0,10,0,0
1,4,21,0,0,10,1.2,0.07,0,10,0,0
1,4,22,0,0,10,1.3,0.07,0,10,0,0
1,4,23,0,0,10,1.3,0.07,0,10,0,0
1,5,0,0,0,10,1.3,0.07,0,10,0,0
1,5,1,0,0,10,1.3,0.07,0,10,0,0
1,5,2,0,0,10,1.2,0.07,0,10,0,0
1,5,3,0,0,9,1.1,0.07,0,9,0,0
